Marke,Modell,url,country,date,Zustand,Garantie,Angebotsnummer,Außenfarbe,Lackierung,Farbe laut Hersteller,Innenausstattung,Karosserieform,Anzahl Türen,Sitzplätze,Schlüsselnummer,Getriebeart,Gänge,Hubraum,Kraftstoff,Schadstoffklasse,haendler,privat,ort,price,ausstattung_liste,Erstzulassung,Zylinder,Leergewicht
Volkswagen,0,/angebote/volkswagen-others-andere-crafter-35-2-0-tdi-kasten-l2h2-klima-ahk-zv-diesel-weiss-0fc2f8ef-0fdc-4583-b82d-875f3c62a978?,Deutschland,2020-10-20 16:24:13.562918,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,*037136 Wol,Weiß,0,Candy-Weiß,0,Transporter,0.0,3.0,0,Schaltgetriebe,6.0,1.968 cm³,Diesel,Euro 5,1,0,29439 Lüchow,9899.0,"['', 'ABS', 'Anhängerkupplung', 'ESP', 'Extras', 'Klimaanlage', 'Komfort', 'Radio', 'Schiebetür', 'Servolenkung', 'Sicherheit', 'Traktionskontrolle', 'Unterhaltung/Media', 'Zentralverriegelung']",2012.0,4.0,0
Volkswagen,Amarok,/angebote/volkswagen-amarok-highline-v6-tdi-4x4-permanent-diesel-schwarz-8ee87593-b46d-4e29-8018-9f06b8e71f22?,Deutschland,2020-10-21 11:05:26.738034,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,0,Schwarz,Metallic,schwarz metallic perleffektno,"Stoff, Schwarz",SUV/Geländewagen/Pickup,4.0,5.0,0,Automatik,0.0,2.967 cm³,Diesel,Euro 6,1,0,30855 Langenhagen,34900.0,"['', 'ABS', 'Allrad', 'Alufelgen', 'Anhängerkupplung', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektrische Seitenspiegel', 'Extras', 'Freisprecheinrichtung', 'Getönte Scheiben', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'LED-Tagfahrlicht', 'Lichtsensor', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Radio', 'Regensensor', 'Schlüssellose Zentralverriegelung', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Standheizung', 'Tagfahrlicht', 'Tempomat', 'USB', 'Unterhaltung/Media', 'Xenonscheinwerfer', 'Zentralverriegelung']",2020.0,0.0,0
Volkswagen,Arteon,/angebote/volkswagen-arteon-2-0-tsi-206kw-4motion-dsg-r-line-led-dcc-benzin-grau-a9c06bee-5a58-4308-a499-1af28fe34a45?,Deutschland,2020-10-22 23:03:23.446295,Neu,0,144249,Grau,Metallic,Uranograu Sonderlackierung,"Vollleder, Schwarz",Limousine,5.0,5.0,0603/CDJ,Automatik,7.0,1.968 cm³,Benzin,Euro 6,True,False,12529 Schönefeld/OT Großziehten,34990.0,"['', 'ABS', 'Allrad', 'Alufelgen', 'Anhängerkupplung', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Scheinwerfer', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Massagesitze', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Skisack', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Spurhalteassistent', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Zentralverriegelung']",0.0,4.0,1.716 kg
Volkswagen,Beetle,/angebote/volkswagen-beetle-2-0-dsg-sport-leder-xenon-navi-rate-175-benzin-schwarz-b336a17a-a04c-4504-a2d4-93db02ab5d53?,Deutschland,2020-10-20 15:51:01.616774,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,504,Schwarz,Metallic,Deep Black Perleffekt,"Vollleder, Schwarz",Kleinwagen,2.0,4.0,0,Automatik,0.0,1.984 cm³,Benzin,Euro 5,True,False,21502 Geesthacht bei Hamburg,17490.0,"['', 'ABS', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'Bordcomputer', 'CD', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kurvenlicht', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Notbremsassistent', 'Notrufsystem', 'Panoramadach', 'Radio', 'Regensensor', 'Reifendruckkontrollsystem', 'Schaltwippen', 'Schiebedach', 'Schlüssellose Zentralverriegelung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'Traktionskontrolle', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung']",2012.0,0.0,0
Volkswagen,Bora,/angebote/volkswagen-bora-variant-1-6-special-benzin-blau-c7282fb2-9a6c-1931-e053-0100007fd89a?,Deutschland,2020-10-21 15:11:06.247543,Gebraucht,0,0,Schwarz,Metallic,0,"Stoff, Schwarz",Kombi,5.0,5.0,0603/550,Schaltgetriebe,5.0,1.598 cm³,Benzin,Euro 4,1,1,63322 Rödermark,1950.0,"['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Getönte Scheiben', 'Katalysator', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Radio', 'Reserverad', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sommerreifen', 'Soundsystem', 'Stahlfelgen', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank']",2000.0,4.0,1.275 kg
Volkswagen,Bus,/angebote/volkswagen-bus-t6-multivan-trendline-2-0-tdi-mbt-diesel-weiss-5ee33cb5-ae95-40ab-b315-969fdd663a9f?,Deutschland,2020-10-22 22:44:32.802285,Gebraucht,0,K43232,Weiß,0,Candy-Weiß (weiss),"Stoff, Schwarz",Van/Kleinbus,4.0,7.0,0603/BUL,Schaltgetriebe,6.0,1.968 cm³,Diesel (Rußpartikelfilter),0,True,False,47805 Krefeld,32979.0,"['', 'ABS', 'Anhängerkupplung', 'Armlehne', 'Beheizbare Frontscheibe', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'CD', 'DAB-Radio', 'ESP', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Klimaanlage', 'Komfort', 'Lederlenkrad', 'Lordosenstütze', 'MP3', 'Radio', 'Reifendruckkontrollsystem', 'Schiebetür', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung']",2017.0,0.0,0
Volkswagen,CC,/angebote/volkswagen-cc-dynamic-black-bmt-358-r-line-diesel-schwarz-e9a9bea3-23f8-4366-9ada-3e96a6989e68?,Deutschland,2020-10-21 15:07:33.306931,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,36 Monate,0,Grau,Metallic,Islandgrau Perleffekt,"Alcantara, Schwarz",Limousine,4.0,5.0,0603/BWI,Automatik,6.0,1.968 cm³,Diesel,Euro 5,1,0,1100 Wien,15900.0,"['', 'ABS', 'Airbag hinten', 'Alarmanlage', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bi-Xenon Scheinwerfer', 'Bluetooth', 'CD', 'DAB-Radio', 'ESP', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Einparkhilfe Sensoren vorne', 'Elektr. Fensterheber', 'Elektrische Heckklappe', 'Elektrische Seitenspiegel', 'Elektrische Sitze', 'Elektronische Parkbremse', 'Extras', 'Fahrerairbag', 'Fernlichtassistent', 'Getönte Scheiben', 'Isofix', 'Katalysator', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Kurvenlicht', 'LED-Tagfahrlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Müdigkeitswarnsystem', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Raucherpaket', 'Regensensor', 'Schaltwippen', 'Scheinwerferreinigung', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Sommerreifen', 'Soundsystem', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Sprachsteuerung', 'Standheizung', 'Start/Stop-Automatik', 'Tagfahrlicht', 'Tempomat', 'Touchscreen', 'USB', 'Unterhaltung/Media', 'Verkehrszeichenerkennung', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung']",2014.0,4.0,1.615 kg
Volkswagen,Caddy,/angebote/volkswagen-caddy-kombi-trendline-1-0-tsi-benzin-weiss-34610bb2-b768-d30b-e053-0100007fab48?,Deutschland,2020-10-20 16:20:15.061211,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,0,Weiß,0,0,"Stoff, Schwarz",Kombi,5.0,5.0,0,Schaltgetriebe,5.0,1.968 cm³,Diesel,Euro 6,1,0,8051 Graz,13400.0,"['', 'ABS', 'Alufelgen', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Innenspiegel automatisch abblendend', 'Klimaanlage', 'Komfort', 'Nebelscheinwerfer', 'Radio', 'Schiebetür', 'Seitenairbag', 'Sicherheit', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung']",2019.0,4.0,0
Volkswagen,Crafter,/angebote/volkswagen-crafter-35-kasten-2-0-tdi-rear-view-led-diesel-schwarz-f1077c1a-b2fd-48bb-9481-66e10fd68da5?,Deutschland,2020-10-21 15:01:48.926093,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0,4188,Weiß,0,Indienblau,"Stoff, Schwarz",Transporter,4.0,3.0,0,Schaltgetriebe,6.0,1.968 cm³,Diesel,Euro 6,1,0,41066 Mönchengladbach,17399.0,"['', 'ABS', 'Berganfahrassistent', 'ESP', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Fahrerairbag', 'Klimaanlage', 'Komfort', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Servolenkung', 'Sicherheit', 'Start/Stop-Automatik', 'Tagfahrlicht', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung']",2019.0,4.0,0
Volkswagen,Cross Touran,/angebote/volkswagen-cross-touran-1-4-tsi-dsg-xenon-climatr-shz-eph-benzin-braun-e437212c-d125-48e1-9048-2e7e24cb0d0e?,Deutschland,2020-10-21 14:44:08.359838,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,12 Monate,GW4429,Braun,Metallic,Toffeebraun Metallic,Schwarz,Van/Kleinbus,5.0,5.0,0603/AIG,Automatik,7.0,1.390 cm³,Benzin,Euro 5,1,0,57392 Schmallenberg,10950.0,"['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'CD', 'Dachreling', 'ESP', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Getönte Scheiben', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Kurvenlicht', 'Lederlenkrad', 'Lichtsensor', 'Lordosenstütze', 'MP3', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Radio', 'Regensensor', 'Schaltwippen', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sitzheizung', 'Tagfahrlicht', 'Tempomat', 'Traktionskontrolle', 'Unterhaltung/Media', 'Wegfahrsperre', 'Xenonscheinwerfer', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank']",2011.0,4.0,0
